2026-03-26 03:05:23 | INFO     | report | Saved chart: line_GBIME.png
2026-03-26 03:05:24 | INFO     | report | Saved chart: line_NABIL.png
2026-03-26 03:05:24 | INFO     | report | Saved chart: line_NEPSE.png
2026-03-26 03:05:24 | INFO     | report | Saved chart: line_NICA.png
2026-03-26 03:05:24 | INFO     | report | Saved chart: line_NTC.png
2026-03-26 03:05:24 | INFO     | report | Saved chart: line_SBL.png
2026-03-26 03:05:25 | INFO     | report | Saved chart: line_SCB.png
2026-03-26 03:05:25 | INFO     | report | Saved chart: line_UPPER.png
2026-03-26 03:05:25 | INFO     | report | Saved chart: overlay_close_lines.png
2026-03-26 03:05:25 | INFO     | report | Saved chart: pct_change_bars.png
2026-03-26 03:05:26 | INFO     | report | Saved chart: candlestick.png
2026-03-26 03:05:26 | INFO     | report | Saved chart: volume_bars.png
2026-03-26 03:05:26 | INFO     | report | Saved chart: correlation_heatmap.png
2026-03-26 03:05:26 | INFO     | report | Saved chart: cumulative_return.png
2026-03-26 03:05:26 | INFO     | report | Saved chart: summary_table.png
2026-03-26 03:05:27 | INFO     | report | Saved chart: nepse_index.png
2026-03-26 03:05:27 | INFO     | report | Generated 18 chart(s) in /home/riyospace/Documents/nepse-optimized/reports/2026-03-26/graphs
2026-03-26 03:05:27 | INFO     | pipeline | ============================================================
2026-03-26 03:05:27 | INFO     | pipeline | STAGE 4: REPORT + NOTIFY + EMAIL
2026-03-26 03:05:27 | INFO     | pipeline | ============================================================
2026-03-26 03:05:28 | INFO     | report | PDF report saved: /home/riyospace/Documents/nepse-optimized/reports/2026-03-26/NEPSE_Report_20260326_030527.pdf
2026-03-26 03:05:28 | INFO     | email_sender | Connecting to smtp.gmail.com:587 …
2026-03-26 03:05:29 | INFO     | notifier | Desktop notification sent (notify-send).
2026-03-26 03:05:32 | ERROR    | email_sender | Authentication failed. Check NEPSE_EMAIL_SENDER and NEPSE_EMAIL_PASSWORD. Use a Gmail App Password, not your main password.
2026-03-26 03:05:32 | INFO     | report | Email not sent — check config.
2026-03-26 03:05:32 | INFO     | pipeline | Report ready: /home/riyospace/Documents/nepse-optimized/reports/2026-03-26/NEPSE_Report_20260326_030527.pdf
